account_id,account_name,account_handle,account_verified,page_created_date,account_subscriber_count,account_language_code,account_language,admin_location_code,admin_location,last_onboarding,first_recorded_monetization,last_recorded_monetization,facebook_instant_articles_session_count,facebook_in_stream_ads_session_count,facebook_ads_on_reels_session_count,facebook_content_monetization_session_count
971172513015358,Memes Pizza Hut MPH,Memes Pizza Hut MPH,false,2017-01-06,60932,spa,Spanish,GT,Guatemala,2025-07-15,2024-07-07,2025-08-26,0,0,2,0
1761775157419520,Producciones Rosario,produccionesrosariotv,false,2016-11-25,60631,spa,Spanish,GT,Guatemala,2025-07-15,2021-08-03,2025-08-26,0,2,3,0
286247868408836,Radio Hermosa,Radio Hermosa,false,2016-08-09,60409,spa,Spanish,GT,Guatemala,2025-07-15,2021-04-15,2025-08-26,0,6,6,0
1457243394596150,Alegre Fm Uspantan.,AlegreFMNetwork,false,2015-06-29,60394,spa,Spanish,GT,Guatemala,2025-03-01,2020-11-21,2025-08-26,0,3,2,0
192643681168961,Circo De Los Pirrimplines,CircoDeLosPirrimplines,false,2016-09-29,60308,spa,Spanish,NI,Nicaragua,2025-05-10,2023-04-27,2025-08-26,0,4,0,0
2078604202400036,Mujer Natural,mujernatural.gt,false,2018-05-24,60265,spa,Spanish,GT,Guatemala,2024-02-26,2024-02-26,2025-08-26,0,0,1,0
116902466756961,El Mago 8bp,elmago8bpool,false,2020-07-10,60214,spa,Spanish,CR,Costa Rica,2025-07-15,2022-10-31,2025-08-26,0,5,2,0
1484818048326730,Abigail,,false,2019-06-27,60008,spa,Spanish,GT,Guatemala,2025-07-15,2020-05-04,2025-08-26,0,4,1,0
171905043005822,Informa TV,InformaTVX23,false,2013-10-11,59742,spa,Spanish,SV,El Salvador,2025-05-21,2020-02-27,2025-08-26,0,10,2,0
112925020114522,Lo Que Callamos Los Maquileros,maquilerosJA,false,2019-10-07,59687,spa,Spanish,SV,El Salvador,2024-06-04,2023-06-29,2025-08-26,0,2,0,0
1427472470888644,Golazo.com,widkdd,false,2015-04-10,59531,spa,Spanish,GT,Guatemala,2025-05-21,2023-05-10,2025-08-26,0,5,0,0
109279621421578,Oswaldo Macz %502% Solo Humor,Oswaldo Macz %502% Solo Humor,false,2021-07-06,59055,und,Not specified,GT,Guatemala,2025-07-15,2022-06-14,2025-08-26,0,6,7,0
462679413779406,Bluz by Los Lirios,bluznailsbyloslirios,false,2013-01-14,58894,spa,Spanish,GT,Guatemala,2024-07-05,2024-07-05,2025-08-26,0,0,1,0
577785068964430,Noti6hn,noti6hn,false,2014-01-09,58745,spa,Spanish,HN,Honduras,2022-09-01,2019-12-12,2025-08-26,0,7,2,0
2363467040557276,Producciónes EBEN-EZER,produccionesebenezerstudiofilms,false,2019-05-19,58634,spa,Spanish,GT,Guatemala,2024-05-15,2022-09-29,2025-08-26,0,2,1,0
